name,industry,location,estimated_power_cost,employee_count,revenue_estimate,website,news_mentions,contact_info,power_indicators,priority_score,discovery_date,data_sources
Dangote Cement,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Dangote Cement'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Lafarge Africa,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Lafarge Africa'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
BUA Cement,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: BUA Cement'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Nestle Nigeria,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Nestle Nigeria'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Unilever Nigeria,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Unilever Nigeria'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Nigerian Breweries,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Nigerian Breweries'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Guinness Nigeria,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Guinness Nigeria'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
International Breweries,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: International Breweries'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Champion Breweries,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Champion Breweries'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Ajaokuta Steel,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Ajaokuta Steel'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Delta Steel,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Delta Steel'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Jos Steel Rolling,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Jos Steel Rolling'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Eko Steel,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Eko Steel'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Ashaka Cement,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Ashaka Cement'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Chi Pharmaceuticals,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Chi Pharmaceuticals'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Flour Mills Nigeria,Agriculture,Nigeria,500000000,100,0,,['Known Nigerian company: Flour Mills Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Cadbury Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Cadbury Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Cutix Cables,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Cutix Cables'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Coleman Technical Industries,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Coleman Technical Industries'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Beta Glass,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Beta Glass'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Portland Paints,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Portland Paints'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Berger Paints,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Berger Paints'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
CAP Plc,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: CAP Plc'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Nigerian National Petroleum Corporation,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: Nigerian National Petroleum Corporation'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Chevron Nigeria,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: Chevron Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Shell Nigeria,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: Shell Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
TotalEnergies Nigeria,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: TotalEnergies Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
ExxonMobil Nigeria,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: ExxonMobil Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Aiteo Group,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Aiteo Group'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Oando Plc,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: Oando Plc'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Conoil Plc,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: Conoil Plc'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Forte Oil,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: Forte Oil'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
MRS Oil Nigeria,Oil Gas,Nigeria,500000000,100,0,,['Known Nigerian company: MRS Oil Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
FCMB Group,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: FCMB Group'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
MTN Nigeria,Telecommunications,Nigeria,600000000,100,0,,['Known Nigerian company: MTN Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Airtel Nigeria,Telecommunications,Nigeria,600000000,100,0,,['Known Nigerian company: Airtel Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Glo Mobile,Telecommunications,Nigeria,600000000,100,0,,['Known Nigerian company: Glo Mobile'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
9mobile,Telecommunications,Nigeria,600000000,100,0,,['Known Nigerian company: 9mobile'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
MainOne,Telecommunications,Nigeria,600000000,100,0,,['Known Nigerian company: MainOne'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
IHS Towers,Telecommunications,Nigeria,600000000,100,0,,['Known Nigerian company: IHS Towers'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
American Tower Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: American Tower Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Neimeth International,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Neimeth International'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
